2021-03-11 14:23:17,427 [18] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'AmountMet' on entity type 'Article'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:23:17,427 [18] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'Price' on entity type 'Article'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:23:17,428 [18] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'Cost_Price' on entity type 'Cost'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:23:17,428 [18] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'Qty' on entity type 'TransArticle'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:23:17,428 [18] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'TotalPrice' on entity type 'TransArticle'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:23:17,428 [18] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'TotalAmount' on entity type 'Transation'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:24:15,462 [1] INFO  Microsoft.Hosting.Lifetime - Application started. Press Ctrl+C to shut down.
2021-03-11 14:24:15,472 [1] INFO  Microsoft.Hosting.Lifetime - Hosting environment: Development
2021-03-11 14:24:15,473 [1] INFO  Microsoft.Hosting.Lifetime - Content root path: C:\Git\BlazorPeojects\OrderSysManagement
2021-03-11 14:24:20,616 [14] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'AmountMet' on entity type 'Article'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:24:20,619 [14] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'Price' on entity type 'Article'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:24:20,620 [14] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'Cost_Price' on entity type 'Cost'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:24:20,622 [14] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'Qty' on entity type 'TransArticle'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:24:20,626 [14] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'TotalPrice' on entity type 'TransArticle'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:24:20,628 [14] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'TotalAmount' on entity type 'Transation'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:27:36,746 [1] INFO  Microsoft.Hosting.Lifetime - Application started. Press Ctrl+C to shut down.
2021-03-11 14:27:36,753 [1] INFO  Microsoft.Hosting.Lifetime - Hosting environment: Development
2021-03-11 14:27:36,753 [1] INFO  Microsoft.Hosting.Lifetime - Content root path: C:\Git\BlazorPeojects\OrderSysManagement
2021-03-11 14:29:29,474 [1] INFO  Microsoft.Hosting.Lifetime - Application started. Press Ctrl+C to shut down.
2021-03-11 14:29:29,480 [1] INFO  Microsoft.Hosting.Lifetime - Hosting environment: Development
2021-03-11 14:29:29,480 [1] INFO  Microsoft.Hosting.Lifetime - Content root path: C:\Git\BlazorPeojects\OrderSysManagement
2021-03-11 14:34:22,107 [1] INFO  Microsoft.Hosting.Lifetime - Application started. Press Ctrl+C to shut down.
2021-03-11 14:34:22,114 [1] INFO  Microsoft.Hosting.Lifetime - Hosting environment: Development
2021-03-11 14:34:22,114 [1] INFO  Microsoft.Hosting.Lifetime - Content root path: C:\Git\BlazorPeojects\OrderSysManagement
2021-03-11 14:37:28,732 [1] INFO  Microsoft.Hosting.Lifetime - Application started. Press Ctrl+C to shut down.
2021-03-11 14:37:28,739 [1] INFO  Microsoft.Hosting.Lifetime - Hosting environment: Development
2021-03-11 14:37:28,739 [1] INFO  Microsoft.Hosting.Lifetime - Content root path: C:\Git\BlazorPeojects\OrderSysManagement
2021-03-11 14:39:15,689 [1] INFO  Microsoft.Hosting.Lifetime - Application started. Press Ctrl+C to shut down.
2021-03-11 14:39:15,696 [1] INFO  Microsoft.Hosting.Lifetime - Hosting environment: Development
2021-03-11 14:39:15,696 [1] INFO  Microsoft.Hosting.Lifetime - Content root path: C:\Git\BlazorPeojects\OrderSysManagement
2021-03-11 14:41:02,253 [1] INFO  Microsoft.Hosting.Lifetime - Application started. Press Ctrl+C to shut down.
2021-03-11 14:41:02,259 [1] INFO  Microsoft.Hosting.Lifetime - Hosting environment: Development
2021-03-11 14:41:02,259 [1] INFO  Microsoft.Hosting.Lifetime - Content root path: C:\Git\BlazorPeojects\OrderSysManagement
2021-03-11 14:41:46,053 [1] INFO  Microsoft.Hosting.Lifetime - Application started. Press Ctrl+C to shut down.
2021-03-11 14:41:46,059 [1] INFO  Microsoft.Hosting.Lifetime - Hosting environment: Development
2021-03-11 14:41:46,059 [1] INFO  Microsoft.Hosting.Lifetime - Content root path: C:\Git\BlazorPeojects\OrderSysManagement
2021-03-11 14:42:11,911 [1] INFO  Microsoft.Hosting.Lifetime - Application started. Press Ctrl+C to shut down.
2021-03-11 14:42:11,917 [1] INFO  Microsoft.Hosting.Lifetime - Hosting environment: Development
2021-03-11 14:42:11,917 [1] INFO  Microsoft.Hosting.Lifetime - Content root path: C:\Git\BlazorPeojects\OrderSysManagement
